0.04,9.1895e-05,0.0013902,8.3251,1.3133,0.028781,0,197.06,75.922,0.971,1.566,1463,1967.8,0.789,0.306,1.3515e+05,98351,0.0039244,1.6748,3.6735,5.6704,7.6647,9.6558,11.643,13.625,15.602,17.572,0.0039308,1.6416,3.6402,5.6368,7.6306,9.6208,11.606,13.587,15.561,17.528,-2.4983,-2.4709,-2.399,-2.2882,-2.1383,-1.9496,-1.722,-1.4558,-1.151,-0.80778,2.5023,2.53,2.6049,2.7207,2.8776,3.0753,3.3138,3.5928,3.9124,4.2724,1,0,0,0,32.297,0,0,0,5.8558,0,0,0
0.08,0.0039707,0.030916,8.314,1.3138,0.030622,0.026093,197.15,76.244,0.971,1.566,1463,1967.8,0.789,0.306,1.3515e+05,97495,0.0039171,1.341,3.3397,5.3367,7.3311,9.3222,11.309,13.292,15.268,17.239,0.0039383,1.3101,3.3087,5.3053,7.2992,9.2894,11.275,13.256,15.23,17.198,-2.4936,-2.4723,-2.4014,-2.2914,-2.1424,-1.9545,-1.7279,-1.4626,-1.1586,-0.81626,2.5071,2.5286,2.6026,2.7176,2.8735,3.0704,3.3079,3.5861,3.9048,4.264,1,0,0,0,31.966,0,0,0,5.8406,0,0,0
0.12,0.0062335,0.061253,8.3033,1.3157,0.028548,0.027853,197.23,76.566,0.971,1.566,1463,1967.8,0.789,0.306,1.3526e+05,96876,0.0039128,1.0042,3.003,5.0001,6.9948,8.9863,10.974,12.957,14.934,16.905,0.0039426,0.98257,2.9813,4.9782,6.9723,8.9629,10.949,12.93,14.905,16.873,-2.4909,-2.4768,-2.4096,-2.3033,-2.1581,-1.974,-1.751,-1.4894,-1.1892,-0.85051,2.5098,2.5241,2.5943,2.7056,2.8578,3.0509,3.2848,3.5593,3.8743,4.2298,1,0,0,0,31.645,0,0,0,5.778,0,0,0
0.16,0.0076457,0.077494,8.2933,1.3185,0.027997,0.029366,197.31,76.888,0.971,1.566,1463,1967.8,0.789,0.306,1.3534e+05,97246,0.0039099,0.66538,2.6644,4.6618,6.6569,8.6489,10.637,12.621,14.599,16.571,0.0039454,0.65781,2.6567,4.6539,6.6485,8.6396,10.627,12.608,14.584,16.553,-2.489,-2.4816,-2.42,-2.3193,-2.1796,-2.0011,-1.7837,-1.5276,-1.233,-0.89979,2.5117,2.5194,2.584,2.6897,2.8363,3.0238,3.2521,3.5211,3.8306,4.1805,1,0,0,0,31.329,0,0,0,5.6862,0,0,0
0.2,0.0090366,0.085894,8.2841,1.3218,0.028349,0.029366,197.39,77.21,0.971,1.566,1463,1967.8,0.789,0.306,1.3538e+05,97662,0.0039086,0.32573,2.3249,4.3227,6.3182,8.3108,10.3,12.284,14.263,16.236,0.0039466,0.33461,2.3337,4.3312,6.3263,8.318,10.306,12.288,14.265,16.235,-2.4882,-2.4856,-2.4306,-2.3365,-2.2034,-2.0314,-1.8205,-1.571,-1.2828,-0.95612,2.5124,2.5152,2.5733,2.6724,2.8125,2.9935,3.2153,3.4777,3.7807,4.1242,1,0,0,0,31.016,0,0,0,5.5799,0,0,0
0.24,0.0099543,0.086985,8.2758,1.3253,0.029179,0.027925,197.47,77.532,0.971,1.566,1463,1967.8,0.789,0.306,1.3541e+05,98018,0.0039084,1.9854,3.9834,5.9794,7.9725,9.9621,11.947,13.927,15.902,17.869,0.0039463,0.012192,2.0115,4.0093,6.0049,7.9972,9.9856,11.969,13.947,15.919,-2.4881,-2.4404,-2.3532,-2.227,-2.0619,-1.858,-1.6153,-1.334,-1.0142,-0.65586,2.5122,2.5122,2.5634,2.6556,2.7888,2.9628,3.1777,3.4332,3.7294,4.066,1,0,0,0,30.704,0,0,0,5.469,0,0,0
0.28,0.011057,0.087235,8.2681,1.3288,0.029762,0.02838,197.54,77.854,0.971,1.566,1463,1967.8,0.789,0.306,1.3538e+05,98219,0.0039002,1.646,3.6444,5.6408,7.6345,9.6247,11.611,13.592,15.567,17.536,0.0039543,1.6896,3.6877,5.6837,7.6767,9.6658,11.65,13.629,15.602,17.567,-2.4829,-2.4491,-2.3688,-2.2496,-2.0914,-1.8944,-1.6587,-1.3843,-1.0713,-0.71983,2.5173,2.5546,2.6398,2.766,2.9332,3.1411,3.3898,3.679,4.0088,4.379,1,0,0,0,30.392,0,0,0,5.3588,0,0,0
0.32,0.012115,0.088123,8.261,1.3323,0.029944,0.029211,197.62,78.176,0.971,1.566,1463,1967.8,0.789,0.306,1.353e+05,98263,0.003894,1.3069,3.3055,5.3024,7.2966,9.2875,11.274,13.256,15.233,17.203,0.0039607,1.368,3.3664,5.3628,7.3564,9.3462,11.332,13.311,15.285,17.252,-2.4789,-2.4567,-2.3835,-2.2712,-2.12,-1.93,-1.7012,-1.4337,-1.1276,-0.78306,2.5214,2.5468,2.625,2.7443,2.9044,3.1054,3.3471,3.6294,3.9523,4.3156,1,0,0,0,30.08,0,0,0,5.249,0,0,0
0.36,0.013005,0.089624,8.2544,1.3358,0.029826,0.029747,197.69,78.498,0.971,1.566,1463,1967.8,0.789,0.306,1.3517e+05,98146,0.00389,0.96792,2.9668,4.964,6.9588,8.9503,10.938,12.921,14.898,16.87,0.0039651,1.0468,3.0455,5.0423,7.0364,9.0269,11.013,12.994,14.969,16.937,-2.4764,-2.4633,-2.3972,-2.292,-2.1479,-1.965,-1.7432,-1.4828,-1.1838,-0.8462,2.5242,2.5399,2.611,2.7232,2.8763,3.0702,3.3048,3.5801,3.896,4.2523,1,0,0,0,29.769,0,0,0,5.1386,0,0,0
0.4,0.013689,0.091314,8.2483,1.3395,0.029584,0.029747,197.76,78.82,0.971,1.566,1463,1967.8,0.789,0.306,1.3503e+05,98112,0.0038881,0.62898,2.6281,4.6256,6.6209,8.6132,10.602,12.585,14.564,16.536,0.0039675,0.72596,2.7249,4.7221,6.7167,8.708,10.695,12.677,14.653,16.622,-2.4752,-2.469,-2.4101,-2.3121,-2.1753,-1.9995,-1.785,-1.5317,-1.2399,-0.90942,2.5257,2.5339,2.5979,2.7028,2.8486,3.0353,3.2628,3.5309,3.8396,4.1888,1,0,0,0,29.457,0,0,0,5.027,0,0,0
