0.86713,-0.0039825,-0.0013775,0.069554,-0.0059454,-0.0012589,-0.60646,-0.0040834,-0.00145,-1.4848,0.0042864,-0.0013872
0.86505,-0.0040901,-0.0013821,0.067274,-0.0061444,-0.0012508,-0.60756,-0.0046302,-0.0014306,-1.4851,0.0039526,-0.0013825
0.85635,-0.0070245,-0.001378,0.056472,-0.0088083,-0.0012458,-0.6168,-0.0077307,-0.0014237,-1.4868,0.001239,-0.0013883
0.84061,-0.013571,-0.0013827,0.040246,-0.015325,-0.0012464,-0.63174,-0.014798,-0.0014,-1.4818,-0.0055395,-0.0013858
0.82096,-0.022824,-0.0013862,0.019485,-0.024435,-0.0012505,-0.65212,-0.024155,-0.0014012,-1.4741,-0.014819,-0.0013899
0.8013,-0.032584,-0.0013839,-0.0012921,-0.034047,-0.0012488,-0.67268,-0.034021,-0.001396,-1.4662,-0.02446,-0.001395
0.78265,-0.04053,-0.0013873,-0.020786,-0.041821,-0.0012569,-0.69106,-0.042473,-0.001369,-1.4607,-0.03258,-0.0013929
0.74992,-0.048367,-0.0013858,-0.055265,-0.049279,-0.00126,-0.72567,-0.050402,-0.0013601,-1.4716,-0.040283,-0.001397
0.73373,-0.048412,-0.0013845,-0.072041,-0.049032,-0.0012705,-0.74129,-0.050885,-0.001328,-1.4869,-0.040417,-0.0013925
0.71746,-0.046346,-0.0013859,-0.088762,-0.046751,-0.0012759,-0.75829,-0.04881,-0.0013256,-1.5086,-0.038418,-0.0013899
0.70267,-0.042634,-0.0013806,-0.10384,-0.042822,-0.001275,-0.77374,-0.045072,-0.0013167,-1.5353,-0.034511,-0.0013919
0.67414,-0.032518,-0.0013796,-0.1328,-0.03214,-0.0012953,-0.80258,-0.035253,-0.0012835,-1.5921,-0.024536,-0.0013833
0.66119,-0.027476,-0.0013756,-0.1458,-0.026884,-0.0012969,-0.8165,-0.03014,-0.0012763,-1.6212,-0.019279,-0.001387
0.64862,-0.022937,-0.0013719,-0.15783,-0.022254,-0.0012934,-0.82901,-0.025849,-0.00125,-1.6473,-0.014713,-0.0013846
